,prediction,time
0,0.0,2023-05-01 00:00:00
1,0.0,2023-05-01 01:00:00
2,0.0,2023-05-01 02:00:00
3,68.12557813644409,2023-05-01 03:00:00
4,422.95997381210327,2023-05-01 04:00:00
5,907.904802017212,2023-05-01 05:00:00
6,1788.0940065002442,2023-05-01 06:00:00
7,2801.959637145996,2023-05-01 07:00:00
8,2898.880580444336,2023-05-01 08:00:00
9,2782.883394165039,2023-05-01 09:00:00
10,2939.1713922119143,2023-05-01 10:00:00
11,2785.263801879883,2023-05-01 11:00:00
12,2327.399814453125,2023-05-01 12:00:00
13,2411.835796356201,2023-05-01 13:00:00
14,2303.2680232238768,2023-05-01 14:00:00
15,1586.3276054382325,2023-05-01 15:00:00
16,1343.5707937622071,2023-05-01 16:00:00
17,630.500201845169,2023-05-01 17:00:00
18,283.6427674293518,2023-05-01 18:00:00
19,23.299445483982563,2023-05-01 19:00:00
20,0.0,2023-05-01 20:00:00
21,0.0,2023-05-01 21:00:00
22,0.0,2023-05-01 22:00:00
23,0.0,2023-05-01 23:00:00
24,0.0,2023-05-06 00:00:00
25,0.0,2023-05-06 01:00:00
26,0.0,2023-05-06 02:00:00
27,120.74754274576902,2023-05-06 03:00:00
28,606.4097110748291,2023-05-06 04:00:00
29,1278.8844494628906,2023-05-06 05:00:00
30,1611.6166052246094,2023-05-06 06:00:00
31,2439.162001190185,2023-05-06 07:00:00
32,3354.944982299805,2023-05-06 08:00:00
33,3706.70299987793,2023-05-06 09:00:00
34,3945.1500064086913,2023-05-06 10:00:00
35,3512.14382232666,2023-05-06 11:00:00
36,3510.6456015014646,2023-05-06 12:00:00
37,3247.010777130127,2023-05-06 13:00:00
38,2858.044181976318,2023-05-06 14:00:00
39,2426.63301361084,2023-05-06 15:00:00
40,1854.3651208496092,2023-05-06 16:00:00
41,1107.3785954284667,2023-05-06 17:00:00
42,435.5922000122071,2023-05-06 18:00:00
43,91.68695405691862,2023-05-06 19:00:00
44,0.0,2023-05-06 20:00:00
45,0.0,2023-05-06 21:00:00
46,0.0,2023-05-06 22:00:00
47,0.0,2023-05-06 23:00:00
48,0.0,2023-05-14 00:00:00
49,0.0,2023-05-14 01:00:00
50,22.743446889966727,2023-05-14 02:00:00
51,179.8022182583809,2023-05-14 03:00:00
52,619.6949031066895,2023-05-14 04:00:00
53,1326.6615921020507,2023-05-14 05:00:00
54,2753.3506036376957,2023-05-14 06:00:00
55,3728.2366137695312,2023-05-14 07:00:00
56,3544.219793701172,2023-05-14 08:00:00
57,3878.947593994141,2023-05-14 09:00:00
58,3872.1892053222655,2023-05-14 10:00:00
59,3634.8774084472657,2023-05-14 11:00:00
60,3914.9747717285154,2023-05-14 12:00:00
61,3769.8495959472657,2023-05-14 13:00:00
62,2801.0135986328123,2023-05-14 14:00:00
63,1948.1791900634769,2023-05-14 15:00:00
64,1213.7719082641602,2023-05-14 16:00:00
