id,prediction
0,0.0
1,0.0
2,0.0
3,68.12557813644409
4,422.95997381210327
5,907.9048020172119
6,1788.0940065002442
7,2801.959637145996
8,2898.880580444336
9,2782.883394165039
10,2939.1713922119143
11,2785.263801879883
12,2327.399814453125
13,2411.835796356201
14,2303.2680232238768
15,1586.3276054382325
16,1343.5707937622071
17,630.500201845169
18,283.6427674293518
19,23.299445483982563
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,120.74754274576902
28,606.4097110748291
29,1278.8844494628906
30,1611.6166052246094
31,2439.1620011901855
32,3354.944982299805
33,3706.70299987793
34,3945.1500064086913
35,3512.14382232666
36,3510.6456015014646
37,3247.010777130127
38,2858.044181976318
39,2426.63301361084
40,1854.3651208496094
41,1107.3785954284667
42,435.59220001220706
43,91.68695405691862
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,22.743446889966727
51,179.8022182583809
52,619.6949031066895
53,1326.6615921020507
54,2753.3506036376953
55,3728.2366137695312
56,3544.219793701172
57,3878.947593994141
58,3872.1892053222655
59,3634.8774084472657
60,3914.9747717285154
61,3769.8495959472657
62,2801.0135986328123
63,1948.1791900634767
64,1213.7719082641602
65,653.4420996570587
66,409.57868003845215
67,108.07425303190946
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,14.288976002335549
75,105.79992553830147
76,441.71960229873656
77,1322.0305982971192
78,2553.381600341797
79,3834.254609375
80,3629.885591430664
81,3191.115419921875
82,3473.685602416992
83,3800.8145919799804
84,3328.855198669434
85,2733.884998321533
86,3055.8989978027344
87,2500.3528033447265
88,1805.5553903198243
89,763.1093815612793
90,327.4779789543152
91,139.9833282995224
92,11.163332658112049
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,42.94438949346542
99,219.65815116882325
100,548.8029816436767
101,1379.8928050231934
102,2551.7777673339842
103,3734.231611328125
104,3938.627001953125
105,4234.826206054688
106,4621.823831787109
107,4701.439622802734
108,4635.558431396485
109,4060.2539880371096
110,3470.590211181641
111,2691.8847863769533
112,2023.3619940185547
113,1170.131552095413
114,425.6069357299805
115,192.30962114334108
116,19.85723361194134
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,59.81790424644947
123,258.2015222167969
124,660.1885884857178
125,1514.6010003662109
126,2720.6761877441404
127,3692.6516235351564
128,3824.671395263672
129,3741.476173706055
130,3368.5234188842774
131,2716.5137965393064
132,2989.839592895508
133,2941.925809020996
134,3161.908205566406
135,2488.488190612793
136,1862.1921978759765
137,972.5511055469512
138,459.0503567504883
139,210.3369539833069
140,25.16916846513748
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,88.48460057497024
147,302.70557777404787
148,736.2717944335938
149,1905.765400390625
150,2988.275388183594
151,3850.882222900391
152,4121.51957397461
153,4456.6896142578125
154,4343.675606689453
155,4229.618778076172
156,3542.7964025878905
157,3301.6235888671877
158,3178.3422192382814
159,2517.9769956970213
160,1925.2574049377442
161,1080.6358465576172
162,587.9234748840332
163,216.3530683708191
164,26.0271002843976
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,20.848024559020995
171,112.72753845214844
172,232.44154954910277
173,312.2591967391968
174,401.035796585083
175,526.4093992614746
176,677.8816004180908
177,769.4368016052246
178,857.6545999908448
179,1397.3145969390869
180,1974.6297857666016
181,2307.124579238892
182,2108.9331869506836
183,2127.993999938965
184,1284.271997718811
185,720.3545950317383
186,340.66285680770875
187,185.10109274864197
188,27.68336835026741
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,70.93012208461761
195,226.05911833763122
196,412.534998626709
197,1076.0926005363465
198,1757.1488092041016
199,2543.826992340088
200,2349.9057931518555
201,2333.5334030151366
202,2331.687601318359
203,2375.8394128417967
204,2401.5288037109376
205,2545.9434048461912
206,2440.952788848877
207,1478.9522061157227
208,888.2038019561768
209,504.0504277801514
210,227.74670616149902
211,92.68858415603637
212,14.723821387588977
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,24.563728917837143
219,122.68887994766236
220,247.69279977798462
221,361.7899980545044
222,661.0691941070556
223,1244.4674001312255
224,2854.8211892700197
225,2995.12618560791
226,2158.2747872924806
227,2204.285601196289
228,1302.5935968017577
229,977.5589958190918
230,855.4039947509766
231,827.7763981628418
232,681.4456006622314
233,315.30519756317136
234,296.9382265472412
235,92.75997452139855
236,17.931839537620544
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,21.254224569797515
243,149.18784943580627
244,385.0706967544556
245,1174.694402370453
246,1816.1109980773927
247,2486.351984710693
248,2071.19
249,1706.4189961242676
250,1626.7921903991698
251,1673.7247904968262
252,2051.4515884399416
253,2081.837994384766
254,2185.1279986572267
255,2030.1093964767456
256,1932.702188873291
257,1036.136446762085
258,520.1827507209778
259,191.30252628326417
260,52.7152627441287
261,0.0
262,0.0
263,0.0
264,0.0
265,5.970499637126923
266,73.46053369045258
267,176.79397442817688
268,362.2162675476074
269,720.6792967987061
270,1182.528596763611
271,1563.5223904418945
272,1458.648399658203
273,2014.6851953125
274,1846.7790112304688
275,1826.4972024536132
276,1915.2803861999512
277,1492.5261923980713
278,1435.4977952575684
279,1194.2590022659301
280,1002.7423934936523
281,487.6340249633789
282,199.50811046600342
283,136.4735530424118
284,18.02120737940073
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,83.53069315195084
291,215.96994918823242
292,400.7731586265564
293,823.0196060180664
294,1634.7452024078368
295,1817.312191543579
296,1529.5103948974609
297,2070.6267958831786
298,2235.745597381592
299,2134.952592010498
300,1523.642985458374
301,1385.1111988067628
302,1461.8141952514648
303,1316.6340053939819
304,1045.0263975524902
305,738.6336287689209
306,430.29978191375733
307,184.750221824646
308,53.40087123572826
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,67.41186310023069
315,212.54071239471435
316,406.7458757591248
317,706.151589050293
318,1371.1631951904296
319,2000.3565927124023
320,2566.6585913085937
321,2926.112181396484
322,3039.361569824219
323,2135.3683879089353
324,2035.6313912963867
325,1798.1259956359863
326,1327.2621885681153
327,752.5495948791504
328,657.1751973342896
329,467.2056488037109
330,223.29662786483766
331,137.73824314594268
332,20.94346500903368
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,27.189818942546843
339,130.6129291152954
340,272.289105758667
341,511.7402521133423
342,866.4391981124878
343,1031.8022016143798
344,1178.302391281128
345,1448.7000051879884
346,1574.1043951416016
347,1789.7792030334472
348,1701.5129971313477
349,1397.3256033325194
350,1210.864598236084
351,1095.1314021301268
352,924.1759972381592
353,533.9812748718261
354,274.863648853302
355,122.06311626434326
356,30.797559425532818
357,0.0
358,0.0
359,0.0
360,0.0
361,5.96497412389901
362,47.86054152905941
363,136.18067679882049
364,311.81616083145144
365,468.9153998374939
